grant_title,id,organization,start_year,total_amount,group,Grant start date,start_month,start_day
,299,Nicaragua,2010,46.5508,high,1/2/2010,11,19
,300,Nicaragua,2011,46.5131,high,1/3/2010,11,19
,301,Niger,2009,19.3328,high,1/4/2010,11,19
,302,Niger,2010,20.259,high,1/5/2010,11,19
,303,Niger,2011,20.5894,high,1/6/2010,11,19
,304,Nigeria,2009,473.8655,high,1/7/2010,11,19
,305,Nigeria,2010,491.669,high,1/8/2010,11,19
,306,Nigeria,2011,496.1326,high,1/9/2010,11,19
,307,Niue,2009,0.0465,high,1/10/2010,11,19
,308,Niue,2010,0.0483,high,1/11/2010,11,19
,309,Niue,2011,0.0553,high,1/12/2010,11,19
,310,Norway,2009,25.264,high,1/13/2010,11,19
,311,Norway,2010,27.2304,high,1/14/2010,11,19
,312,Norway,2011,26.1185,high,1/15/2010,11,19
,313,Oman,2009,95.8654,high,1/16/2010,11,19
,314,Oman,2010,99.0907,high,1/17/2010,11,19
,315,Oman,2011,103.5336,high,1/18/2010,11,19
,316,Pakistan,2009,325.2733,high,1/19/2010,11,19
,317,Pakistan,2010,326.6593,high,1/20/2010,11,19
,318,Pakistan,2011,330.1926,high,1/21/2010,11,19
,319,Palau,2009,0.2763,high,1/22/2010,11,19
,320,Palau,2010,0.2839,high,1/23/2010,11,19
,321,Palau,2011,,high,1/24/2010,11,19
,322,Panama,2009,20.4386,high,1/25/2010,11,19
,323,Panama,2010,21.1526,high,1/26/2010,11,19
,324,Panama,2011,21.376,high,1/27/2010,11,19
,325,Papua New Guinea,2009,97.1984,high,1/28/2010,11,19
,326,Papua New Guinea,2010,97.6247,high,1/29/2010,11,19
,327,Papua New Guinea,2011,97.8507,high,1/30/2010,11,19
,328,Paraguay,2009,111.5814,high,1/31/2010,11,19
,329,Paraguay,2010,112.8127,high,2/1/2010,11,19
,330,Paraguay,2011,113.2758,high,2/2/2010,11,19
,331,Peru,2009,146.8104,high,2/3/2010,11,19
,332,Peru,2010,150.7154,high,2/4/2010,11,19
,333,Peru,2011,153.6466,high,2/5/2010,11,19
,334,Philippines,2009,138.0487,high,2/6/2010,11,19
,335,Philippines,2010,145.7789,high,2/7/2010,11,19
,336,Philippines,2011,147.5862,high,2/8/2010,11,19
,337,Poland,2009,316.1634,high,2/9/2010,11,19
,338,Poland,2010,333.2904,high,2/10/2010,11,19
,339,Poland,2011,329.6969,high,2/11/2010,11,19
,340,Portugal,2009,79.1833,high,2/12/2010,11,19
,341,Portugal,2010,74.1196,high,2/13/2010,11,19
,342,Portugal,2011,74.4565,high,2/14/2010,11,19
,343,Qatar,2009,70.2437,high,2/15/2010,11,19
,344,Qatar,2010,75.2752,high,2/16/2010,11,19
,345,Qatar,2011,83.553,high,2/17/2010,11,19
,346,Romania,2009,121.1944,high,2/18/2010,11,19
,347,Romania,2010,117.5375,high,2/19/2010,11,19
,348,Romania,2011,123.8823,high,2/20/2010,11,19
,349,Russian Federation,2009,2049.5665,high,2/21/2010,11,19
,350,Russian Federation,2010,2133.8469,high,2/22/2010,11,19
,351,Russian Federation,2011,2216.5927,high,2/23/2010,11,19
,352,Rwanda,2009,3.7864,high,2/24/2010,11,19
,353,Rwanda,2010,3.9692,high,2/25/2010,11,19
,354,Rwanda,2011,4.3249,high,2/26/2010,11,19
,355,Saint Kitts & Nevis,2009,0.3663,high,2/27/2010,11,19
,356,Saint Kitts & Nevis,2010,0.3575,high,2/28/2010,11,19
,357,Saint Kitts & Nevis,2011,0.4124,high,3/1/2010,11,19
,358,Saint Lucia,2009,1.0919,high,3/2/2010,11,19
,359,Saint Lucia,2010,1.1142,high,3/3/2010,11,19
,360,Saint Lucia,2011,1.1395,high,3/4/2010,11,19
,361,Saint Vincent & Grenadines,2009,0.2164,high,3/5/2010,11,19
,362,Saint Vincent & Grenadines,2010,0.2239,high,3/6/2010,11,19
,363,Saint Vincent & Grenadines,2011,0.2141,high,3/7/2010,11,19
,364,Samoa,2009,0.345,high,3/8/2010,11,19
,365,Samoa,2010,0.3459,high,3/9/2010,11,19
,366,Samoa,2011,0.332,high,3/10/2010,11,19
,367,Sao Tome & Principe,2009,0.1632,high,3/11/2010,11,19
,368,Sao Tome & Principe,2010,0.1718,high,3/12/2010,11,19
,369,Sao Tome & Principe,2011,0.2255,high,3/13/2010,11,19
,370,Saudi Arabia,2009,471.1132,high,3/14/2010,11,19
,371,Saudi Arabia,2010,510.1386,high,3/15/2010,11,19
,372,Saudi Arabia,2011,532.8904,high,3/16/2010,11,19
,373,Senegal,2009,28.0425,high,3/17/2010,11,19
,374,Senegal,2010,28.3144,high,3/18/2010,11,19
,375,Senegal,2011,27.1624,high,3/19/2010,11,19
,376,Serbia,2009,-10.3323,high,3/20/2010,11,19
,377,Serbia,2010,-12.1071,high,3/21/2010,11,19
,378,Serbia,2011,-9.4919,high,3/22/2010,11,19
,379,Seychelles,2009,0.8216,high,3/23/2010,11,19
,380,Seychelles,2010,0.7709,high,3/24/2010,11,19
,381,Seychelles,2011,1.1559,high,3/25/2010,11,19
,382,Cambodia,2009,48.4525,high,3/26/2010,11,19
,383,Cambodia,2010,48.7258,high,3/27/2010,11,19
,384,Cambodia,2011,48.8516,high,3/28/2010,11,19
,385,Cameroon,2009,199.9201,high,3/29/2010,11,19
,386,Cameroon,2010,199.5086,high,3/30/2010,11,19
,387,Cameroon,2011,199.2164,high,3/31/2010,11,19
,388,Canada,2009,800.7351,high,4/1/2010,11,19
,389,Canada,2010,841.5982,high,4/2/2010,11,19
,390,Canada,2011,847.0848,high,4/3/2010,11,19
,391,Cape Verde,2009,0.5909,high,4/4/2010,11,19
,392,Cape Verde,2010,0.6499,high,4/5/2010,11,19
,393,Cape Verde,2011,0.7281,high,4/6/2010,11,19
,394,Central African Republic,2009,102.7737,high,4/7/2010,11,19
,395,Central African Republic,2010,103.4364,high,4/8/2010,11,19
,396,Central African Republic,2011,103.9375,high,4/9/2010,11,19
,397,Chad,2009,52.5632,high,4/10/2010,11,19
,398,Chad,2010,52.7923,high,4/11/2010,11,19
,399,Chad,2011,53.0596,high,4/12/2010,11,19
,400,Chile,2009,82.2173,high,4/13/2010,11,19
,401,Chile,2010,86.8362,high,4/14/2010,11,19
,402,Chile,2011,93.8922,high,4/15/2010,11,19
,403,China,2009,8792.1224,high,4/16/2010,11,19
,404,China,2010,9387.0095,high,4/17/2010,11,19
,405,China,2011,10260.3155,high,4/18/2010,11,19
,406,Colombia,2009,214.7454,high,4/19/2010,11,19
,407,Colombia,2010,216.3056,high,4/20/2010,11,19
,408,Colombia,2011,222.9483,high,4/21/2010,11,19
,409,Comoros,2009,0.5195,high,4/22/2010,11,19
,410,Comoros,2010,0.5174,high,4/23/2010,11,19
,411,Comoros,2011,0.5272,high,4/24/2010,11,19
,412,"Congo, Rep.",2009,22.3055,high,4/25/2010,11,19
,413,"Congo, Rep.",2010,21.9944,high,4/26/2010,11,19
,414,"Congo, Rep.",2011,21.7416,high,4/27/2010,11,19
,415,"Congo, Dem. Rep.",2009,316.6847,high,4/28/2010,11,19
,416,"Congo, Dem. Rep.",2010,317.3795,high,4/29/2010,11,19
,417,"Congo, Dem. Rep.",2011,317.9229,high,4/30/2010,11,19
,418,Cook Islands,2009,0.1113,high,5/1/2010,11,19
,419,Cook Islands,2010,0.1106,high,5/2/2010,11,19
,420,Cook Islands,2011,0.1159,high,5/3/2010,11,19
,421,Costa Rica,2009,7.1873,high,5/4/2010,11,19
,422,Costa Rica,2010,7.584,high,5/5/2010,11,19
,423,Costa Rica,2011,7.2129,high,5/6/2010,11,19
,424,Cote d'Ivoire,2009,61.9703,high,5/7/2010,11,19
,425,Cote d'Ivoire,2010,62.1688,high,5/8/2010,11,19
,426,Cote d'Ivoire,2011,62.2818,high,5/9/2010,11,19
,427,Croatia,2009,16.6285,high,5/10/2010,11,19
,428,Croatia,2010,15.7967,high,5/11/2010,11,19
,429,Croatia,2011,14.2924,high,5/12/2010,11,19
,430,Cuba,2009,47.2309,high,5/13/2010,11,19
,431,Cuba,2010,45.2579,high,5/14/2010,11,19
,432,Cuba,2011,43.5523,high,5/15/2010,11,19
,433,Cyprus,2009,9.0599,high,5/16/2010,11,19
,434,Cyprus,2010,8.7575,high,5/17/2010,11,19
,435,Cyprus,2011,7.8218,high,5/18/2010,11,19
,436,Czech Republic,2009,120.4782,high,5/19/2010,11,19
,437,Czech Republic,2010,124.4638,high,5/20/2010,11,19
,438,Czech Republic,2011,123.0887,high,5/21/2010,11,19
,439,Denmark,2009,60.2704,high,5/22/2010,11,19
,440,Denmark,2010,60.1913,high,5/23/2010,11,19
,441,Denmark,2011,54.8783,high,5/24/2010,11,19
,442,Djibouti,2009,1.1548,high,5/25/2010,11,19
,443,Djibouti,2010,1.1688,high,5/26/2010,11,19
,444,Djibouti,2011,1.7987,high,5/27/2010,11,19
,445,Dominica,2009,0.2721,high,5/28/2010,11,19
,446,Dominica,2010,0.2797,high,5/29/2010,11,19
,447,Dominica,2011,0.2862,high,5/30/2010,11,19
,448,Sierra Leone,2009,10.591,high,5/31/2010,11,19
,449,Sierra Leone,2010,10.7209,high,6/1/2010,11,19
,450,Sierra Leone,2011,11.6091,high,6/2/2010,11,19
,451,Singapore,2009,61.2857,high,6/3/2010,11,19
,452,Singapore,2010,70.055,high,6/4/2010,11,19
,453,Singapore,2011,70.8907,high,6/5/2010,11,19
,454,Slovakia,2009,35.7253,high,6/6/2010,11,19
,455,Slovakia,2010,37.0475,high,6/7/2010,11,19
,456,Slovakia,2011,35.6868,high,6/8/2010,11,19
,457,Slovenia,2009,5.4237,high,6/9/2010,11,19
,458,Slovenia,2010,5.5184,high,6/10/2010,11,19
,459,Slovenia,2011,5.0269,high,6/11/2010,11,19
,460,Solomon Islands,2009,2.2189,high,6/12/2010,11,19
,461,Solomon Islands,2010,2.2297,high,6/13/2010,11,19
,462,Solomon Islands,2011,2.2389,high,6/14/2010,11,19
,463,South Africa,2009,450.5926,high,6/15/2010,11,19
,464,South Africa,2010,458.765,high,6/16/2010,11,19
,465,South Africa,2011,457.3271,high,6/17/2010,11,19
,466,Spain,2009,351.4984,high,6/18/2010,11,19
,467,Spain,2010,334.3103,high,6/19/2010,11,19
,468,Spain,2011,335.626,high,6/20/2010,11,19
,469,Sri Lanka,2009,46.4553,high,6/21/2010,11,19
,470,Sri Lanka,2010,48.0389,high,6/22/2010,11,19
,471,Sri Lanka,2011,49.3244,high,6/23/2010,11,19
,472,Sudan,2009,191.0734,high,6/24/2010,11,19
,473,Sudan,2010,186.007,high,6/25/2010,11,19
,474,Sudan,2011,186.3705,high,6/26/2010,11,19
,475,Suriname,2009,9.4073,high,6/27/2010,11,19
,476,Suriname,2010,9.1899,high,6/28/2010,11,19
,477,Suriname,2011,9.1485,high,6/29/2010,11,19
,478,Swaziland,2009,2.8592,high,6/30/2010,11,19
,479,Swaziland,2010,2.8898,high,7/1/2010,11,19
,480,Swaziland,2011,2.9169,high,7/2/2010,11,19
,481,Sweden,2009,34.384,high,7/3/2010,11,19
,482,Sweden,2010,39.5656,high,7/4/2010,11,19
,483,Sweden,2011,37.2404,high,7/5/2010,11,19
,484,Switzerland,2009,49.7123,high,7/6/2010,11,19
,485,Switzerland,2010,51.274,high,7/7/2010,11,19
,486,Switzerland,2011,47.2838,high,7/8/2010,11,19
,487,Syria,2009,93.1236,high,7/9/2010,11,19
,488,Syria,2010,93.866,high,7/10/2010,11,19
,489,Syria,2011,87.5735,high,7/11/2010,11,19
,490,Taiwan,2009,254.9153,high,7/12/2010,11,19
,491,Taiwan,2010,274.8503,high,7/13/2010,11,19
,492,Taiwan,2011,269.5649,high,7/14/2010,11,19
,493,Tajikistan,2009,10.4229,high,7/15/2010,11,19
,494,Tajikistan,2010,10.8228,high,7/16/2010,11,19
,495,Tajikistan,2011,10.905,high,7/17/2010,11,19
,496,Tanzania,2009,171.6307,high,7/18/2010,11,19
,497,Tanzania,2010,172.5317,high,7/19/2010,11,19
,498,Tanzania,2011,172.4985,high,7/20/2010,11,19
,499,Thailand,2009,321.2704,high,7/21/2010,11,19
,500,Thailand,2010,344.5517,high,7/22/2010,11,19
,501,Thailand,2011,352.8642,high,7/23/2010,11,19
,502,Togo,2009,16.5666,high,7/24/2010,11,19
,503,Togo,2010,16.7057,high,7/25/2010,11,19
,504,Togo,2011,16.4691,high,7/26/2010,11,19
,505,Tonga,2009,0.3879,high,7/27/2010,11,19
,506,Tonga,2010,0.3755,high,7/28/2010,11,19
,507,Tonga,2011,0.3743,high,7/29/2010,11,19
,508,Trinidad & Tobago,2009,43.546,high,7/30/2010,11,19
,509,Trinidad & Tobago,2010,46.049,high,7/31/2010,11,19
,510,Trinidad & Tobago,2011,44.1104,high,8/1/2010,11,19
,511,Tunisia,2009,33.381,high,8/2/2010,11,19
,512,Tunisia,2010,34.2352,high,8/3/2010,11,19
,513,Tunisia,2011,29.6101,high,8/4/2010,11,19
,514,Turkey,2009,338.778,high,8/5/2010,11,19
,515,Turkey,2010,353.3523,high,8/6/2010,11,19
,516,Turkey,2011,374.7055,high,8/7/2010,11,19
,517,Turkmenistan,2009,93.4256,high,8/8/2010,11,19
,518,Turkmenistan,2010,101.005,high,8/9/2010,11,19
,519,Turkmenistan,2011,107.1559,high,8/10/2010,11,19
,520,Uganda,2009,45.2061,high,8/11/2010,11,19
,521,Uganda,2010,45.6373,high,8/12/2010,11,19
,522,Uganda,2011,45.345,high,8/13/2010,11,19
,523,Ukraine,2009,338.53,high,8/14/2010,11,19
,524,Ukraine,2010,356.9985,high,8/15/2010,11,19
,525,Ukraine,2011,371.5221,high,8/16/2010,11,19
,526,United Arab Emirates,2009,195.265,high,8/17/2010,11,19
,527,United Arab Emirates,2010,202.3437,high,8/18/2010,11,19
,528,United Arab Emirates,2011,210.9945,high,8/19/2010,11,19
,529,United Kingdom,2009,562.3474,high,8/20/2010,11,19
,530,United Kingdom,2010,579.3852,high,8/21/2010,11,19
,531,United Kingdom,2011,540.8256,high,8/22/2010,11,19
,532,United States,2009,5996.7439,high,8/23/2010,11,19
,533,United States,2010,6253.7159,high,8/24/2010,11,19
,534,United States,2011,6135.0273,high,8/25/2010,11,19
,535,Uruguay,2009,14.0633,high,8/26/2010,11,19
,536,Uruguay,2010,13.1671,high,8/27/2010,11,19
,537,Uruguay,2011,14.5451,high,8/28/2010,11,19
,538,Uzbekistan,2009,214.565,high,8/29/2010,11,19
,539,Uzbekistan,2010,214.0483,high,8/30/2010,11,19
,540,Uzbekistan,2011,225.3951,high,8/31/2010,11,19
,541,Vanuatu,2009,0.4732,high,9/1/2010,11,19
,542,Vanuatu,2010,0.4817,high,9/2/2010,11,19
,543,Vanuatu,2011,0.516,high,9/3/2010,11,19
,544,Venezuela,2009,388.3692,high,9/4/2010,11,19
,545,Venezuela,2010,399.0262,high,9/5/2010,11,19
,546,Venezuela,2011,381.0353,high,9/6/2010,11,19
,547,Vietnam,2009,231.3463,high,9/7/2010,11,19
,548,Vietnam,2010,250.0867,high,9/8/2010,11,19
,549,Vietnam,2011,260.3403,high,9/9/2010,11,19
,550,Yemen,2009,32.4524,high,9/10/2010,11,19
,551,Yemen,2010,34.1512,high,9/11/2010,11,19
,552,Yemen,2011,29.4691,high,9/12/2010,11,19
,553,Zambia,2009,125.1489,high,9/13/2010,11,19
,554,Zambia,2010,128.6095,high,9/14/2010,11,19
,555,Zambia,2011,128.9368,high,9/15/2010,11,19
,556,Zimbabwe,2009,57.0521,high,9/16/2010,11,19
,557,Zimbabwe,2010,57.8627,high,9/17/2010,11,19
,558,Zimbabwe,2011,58.47,high,9/18/2010,11,19
,559,World,2009,43146.5027,high,9/19/2010,11,19
,560,World,2010,44766.4875,high,9/20/2010,11,19
,561,World,2011,45913.5035,high,9/21/2010,11,19
,562,European Union (15),2009,3502.4438,high,9/22/2010,11,19
,563,European Union (15),2010,3568.5646,high,9/23/2010,11,19
,564,European Union (15),2011,3446.0188,high,9/24/2010,11,19
,565,European Union (27),2009,4293.8234,high,9/25/2010,11,19
,566,European Union (27),2010,4385.6144,high,9/26/2010,11,19
,567,European Union (27),2011,4263.1506,high,9/27/2010,11,19
